iter	Passed	Remaining
0	1	101
1	1	87
2	2	79
3	3	79
4	4	80
5	4	77
6	5	75
7	6	74
8	7	74
9	8	74
10	9	74
11	10	75
12	11	75
13	12	74
14	13	75
15	14	75
16	15	74
17	16	73
18	17	73
19	18	73
20	19	72
21	20	72
22	21	71
23	22	70
24	23	69
25	23	68
26	24	67
27	25	66
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	32	59
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	52
42	39	51
43	40	50
44	41	50
45	42	49
46	43	48
47	44	48
48	45	47
49	46	46
50	47	45
51	47	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	62	31
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	76	16
82	77	15
83	78	14
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
