iter	Passed	Remaining
0	0	697
1	1	692
2	2	669
3	2	650
4	3	639
5	3	653
6	4	668
7	5	660
8	5	653
9	6	662
10	7	663
11	8	667
12	8	672
13	9	676
14	10	695
15	11	704
16	12	702
17	12	699
18	13	698
19	14	692
20	14	691
21	15	687
22	16	688
23	16	683
24	17	681
25	18	676
26	18	672
27	19	669
28	19	668
29	20	669
30	21	667
31	21	663
32	22	665
33	23	663
34	23	660
35	24	657
36	25	655
37	25	653
38	26	651
39	27	648
40	27	647
41	28	646
42	29	650
43	29	648
44	30	646
45	31	645
46	31	643
47	32	640
48	33	640
49	33	638
50	34	637
51	35	638
52	35	638
53	36	637
54	37	636
55	37	637
56	38	635
57	39	633
58	39	632
59	40	632
60	41	632
61	41	631
62	42	630
63	43	629
64	43	628
65	44	627
66	44	626
67	45	624
68	46	623
69	46	623
70	47	622
71	48	622
72	49	625
73	49	625
74	50	625
75	51	624
76	52	623
77	52	621
78	53	621
79	53	620
80	54	619
81	55	619
82	55	614
83	56	614
84	56	613
85	57	612
86	58	611
87	58	609
88	59	609
89	60	608
90	61	609
91	61	608
92	62	607
93	62	607
94	63	605
95	64	604
96	64	603
97	65	603
98	66	602
99	66	602
100	67	601
101	68	601
102	68	600
103	69	599
104	70	598
105	70	596
106	71	596
107	72	595
108	72	594
109	73	593
110	74	592
111	74	592
112	75	591
113	76	591
114	76	590
115	77	590
116	78	589
117	78	587
118	79	586
119	79	585
120	80	584
121	80	582
122	81	581
123	82	581
124	82	580
125	83	579
126	84	577
127	84	577
128	85	576
129	86	576
130	86	575
131	87	575
132	88	574
133	88	573
134	89	571
135	89	570
136	90	570
137	91	570
138	91	569
139	92	569
140	93	568
141	93	566
142	94	566
143	95	566
144	95	566
145	96	565
146	97	565
147	98	564
148	98	563
149	99	562
150	99	562
151	100	561
152	101	560
153	101	559
154	102	559
155	103	559
156	104	560
157	105	560
158	105	560
159	106	559
160	106	557
161	107	556
162	108	555
163	108	554
164	109	554
165	110	553
166	110	552
167	111	551
168	112	551
169	112	550
170	113	550
171	114	549
172	114	549
173	115	549
174	116	548
175	117	548
176	118	551
177	119	551
178	120	550
179	120	549
180	121	549
181	122	549
182	122	548
183	123	548
184	124	547
185	125	547
186	125	547
187	126	546
188	127	545
189	127	545
190	128	544
191	129	544
192	129	543
193	130	542
194	131	541
195	131	540
196	132	539
197	133	539
198	133	538
199	134	538
200	135	537
201	135	537
202	136	536
203	137	535
204	138	535
205	138	534
206	139	533
207	139	532
208	140	532
209	141	531
210	142	531
211	142	530
212	143	529
213	143	528
214	144	528
215	145	527
216	145	526
217	146	526
218	147	525
219	148	525
220	148	524
221	149	524
222	150	523
223	150	522
224	151	521
225	152	521
226	152	520
227	153	519
228	154	518
229	154	517
230	155	516
231	155	516
232	156	515
233	157	514
234	157	513
235	158	513
236	159	512
237	159	511
238	160	510
239	161	510
240	161	509
241	162	508
242	163	508
243	163	507
244	164	506
245	165	505
246	165	505
247	166	504
248	166	503
249	167	502
250	168	502
251	168	501
252	169	500
253	170	499
254	170	499
255	171	498
256	172	498
257	172	497
258	173	496
259	174	496
260	174	495
261	175	494
262	176	494
263	177	494
264	177	493
265	178	492
266	179	492
267	179	491
268	180	490
269	181	490
270	181	489
271	182	489
272	183	489
273	184	488
274	184	487
275	185	486
276	186	485
277	186	485
278	187	484
279	188	483
280	188	482
281	189	482
282	190	481
283	190	481
284	191	480
285	192	479
286	192	478
287	193	478
288	193	477
289	194	476
290	195	475
291	195	474
292	196	474
293	197	473
294	197	473
295	198	472
296	199	471
297	199	470
298	200	469
299	200	468
300	201	468
301	202	467
302	203	466
303	203	466
304	204	465
305	204	464
306	205	464
307	206	463
308	206	462
309	207	461
310	208	461
311	208	460
312	209	459
313	210	458
314	210	458
315	211	457
316	211	456
317	212	455
318	213	455
319	213	454
320	214	454
321	215	453
322	216	452
323	216	452
324	217	451
325	218	451
326	218	450
327	219	449
328	220	449
329	221	448
330	221	448
331	222	447
332	223	447
333	223	446
334	224	445
335	225	445
336	226	444
337	226	444
338	227	444
339	228	443
340	229	442
341	229	442
342	230	441
343	231	440
344	231	439
345	232	439
346	233	438
347	233	438
348	234	437
349	235	436
350	235	436
351	236	435
352	237	434
353	238	434
354	238	433
355	239	433
356	240	432
357	240	431
358	241	431
359	242	430
360	242	429
361	243	429
362	244	428
363	245	428
364	245	427
365	246	426
366	247	426
367	247	425
368	248	425
369	249	424
370	249	423
371	250	422
372	251	422
373	251	421
374	252	420
375	253	419
376	253	419
377	254	418
378	255	417
379	255	417
380	256	416
381	257	415
382	257	415
383	258	414
384	258	413
385	259	412
386	260	412
387	261	411
388	261	410
389	262	410
390	262	409
391	263	408
392	264	408
393	264	407
394	265	406
395	266	406
396	266	405
397	267	404
398	268	403
399	268	403
400	269	402
401	270	402
402	271	401
403	283	418
404	284	418
405	285	417
406	285	416
407	286	415
408	286	414
409	287	413
410	288	412
411	288	412
412	289	411
413	290	410
414	290	409
415	291	409
416	292	408
417	292	407
418	293	406
419	294	406
420	294	405
421	295	404
422	296	403
423	296	402
424	297	402
425	297	401
426	298	400
427	299	400
428	299	399
429	300	398
430	301	397
431	302	397
432	302	396
433	303	395
434	303	394
435	304	394
436	305	393
437	306	392
438	306	392
439	307	391
440	308	390
441	309	390
442	309	389
443	310	388
444	311	388
445	312	388
446	313	388
447	314	387
448	314	386
449	315	385
450	316	385
451	317	384
452	317	383
453	318	382
454	319	382
455	319	381
456	320	380
457	321	380
458	321	379
459	322	378
460	323	377
461	323	376
462	324	376
463	324	375
464	325	374
465	326	374
466	327	373
467	328	373
468	328	372
469	329	371
470	330	370
471	330	370
472	331	369
473	332	368
474	332	367
475	333	367
476	334	366
477	334	365
478	335	364
479	336	364
480	336	363
481	337	362
482	338	361
483	338	361
484	339	361
485	340	360
486	341	359
487	342	358
488	342	358
489	343	357
490	344	356
491	344	356
492	345	355
493	346	354
494	347	354
495	347	353
496	348	352
497	349	351
498	349	351
499	350	350
500	351	349
501	351	349
502	352	348
503	353	347
504	353	346
505	354	346
506	355	345
507	355	344
508	356	343
509	357	343
510	357	342
511	358	341
512	358	340
513	359	339
514	359	339
515	360	338
516	361	337
517	362	336
518	362	336
519	363	335
520	364	334
521	364	334
522	365	333
523	366	332
524	366	331
525	367	331
526	368	330
527	368	329
528	369	329
529	370	328
530	371	327
531	371	327
532	372	326
533	373	325
534	373	324
535	374	324
536	374	323
537	375	322
538	376	321
539	377	321
540	377	320
541	378	319
542	379	319
543	379	318
544	380	317
545	381	316
546	381	316
547	382	315
548	383	314
549	383	314
550	384	313
551	385	312
552	385	311
553	386	311
554	387	310
555	388	310
556	388	309
557	389	308
558	390	307
559	390	307
560	391	306
561	392	305
562	392	304
563	393	304
564	394	303
565	394	302
566	395	302
567	396	301
568	396	300
569	397	299
570	398	299
571	398	298
572	399	297
573	400	297
574	401	296
575	402	295
576	402	295
577	403	294
578	404	293
579	404	293
580	405	292
581	406	291
582	406	291
583	407	290
584	408	289
585	408	288
586	409	288
587	410	287
588	410	286
589	411	285
590	411	284
591	412	284
592	413	283
593	413	282
594	414	282
595	416	282
596	417	281
597	418	281
598	418	280
599	419	279
600	420	278
601	420	278
602	421	277
603	421	276
604	422	275
605	423	275
606	423	274
607	424	273
608	424	272
609	425	272
610	426	271
611	426	270
612	427	269
613	428	269
614	428	268
615	429	267
616	429	266
617	430	266
618	431	265
619	431	264
620	432	263
621	432	263
622	433	262
623	434	261
624	434	260
625	435	260
626	436	259
627	436	258
628	437	257
629	438	257
630	438	256
631	439	255
632	440	255
633	440	254
634	441	253
635	442	252
636	442	252
637	443	251
638	444	250
639	444	250
640	445	249
641	446	248
642	446	247
643	447	247
644	447	246
645	448	245
646	449	245
647	449	244
648	450	243
649	451	242
650	451	242
651	452	241
652	453	240
653	454	240
654	454	239
655	455	238
656	456	238
657	456	237
658	457	236
659	458	235
660	458	235
661	459	234
662	459	233
663	460	233
664	461	232
665	461	231
666	462	230
667	463	230
668	463	229
669	464	228
670	465	228
671	465	227
672	466	226
673	467	225
674	467	225
675	468	224
676	469	223
677	469	223
678	470	222
679	471	221
680	471	220
681	472	220
682	472	219
683	473	218
684	474	218
685	475	217
686	475	216
687	476	216
688	477	215
689	477	214
690	478	213
691	479	213
692	479	212
693	480	211
694	481	211
695	481	210
696	482	209
697	483	209
698	483	208
699	484	207
700	484	206
701	485	206
702	486	205
703	486	204
704	487	203
705	488	203
706	488	202
707	489	201
708	490	201
709	490	200
710	491	199
711	491	198
712	492	198
713	493	197
714	494	196
715	494	196
716	495	195
717	495	194
718	496	194
719	497	193
720	497	192
721	498	191
722	498	191
723	499	190
724	499	189
725	500	188
726	501	188
727	501	187
728	502	186
729	502	185
730	503	185
731	504	184
732	505	184
733	506	183
734	506	182
735	507	182
736	508	181
737	508	180
738	509	179
739	509	179
740	510	178
741	510	177
742	511	176
743	512	176
744	512	175
745	513	174
746	513	174
747	514	173
748	514	172
749	515	171
750	516	171
751	516	170
752	517	169
753	517	168
754	518	168
755	519	167
756	520	167
757	520	166
758	521	165
759	522	164
760	522	164
761	523	163
762	524	162
763	524	162
764	525	161
765	526	160
766	526	159
767	527	159
768	527	158
769	528	157
770	528	157
771	529	156
772	530	155
773	530	154
774	531	154
775	532	153
776	532	152
777	533	152
778	534	151
779	534	150
780	535	150
781	536	149
782	537	148
783	537	148
784	538	147
785	539	146
786	539	146
787	540	145
788	541	144
789	541	144
790	542	143
791	543	142
792	543	141
793	544	141
794	544	140
795	545	139
796	546	139
797	546	138
798	547	137
799	547	136
800	548	136
801	549	135
802	549	134
803	550	134
804	551	133
805	551	132
806	552	132
807	553	131
808	553	130
809	554	130
810	554	129
811	555	128
812	556	127
813	557	127
814	557	126
815	558	125
816	558	125
817	559	124
818	560	123
819	560	123
820	561	122
821	562	121
822	562	121
823	563	120
824	564	119
825	564	118
826	565	118
827	565	117
828	566	116
829	567	116
830	567	115
831	568	114
832	569	114
833	569	113
834	570	112
835	571	112
836	571	111
837	572	110
838	572	109
839	573	109
840	574	108
841	574	107
842	575	107
843	575	106
844	576	105
845	577	105
846	577	104
847	578	103
848	578	102
849	579	102
850	580	101
851	580	100
852	581	100
853	581	99
854	582	98
855	582	98
856	583	97
857	584	96
858	584	96
859	585	95
860	586	94
861	587	93
862	587	93
863	588	92
864	588	91
865	589	91
866	590	90
867	590	89
868	591	89
869	592	88
870	592	87
871	593	87
872	593	86
873	594	85
874	595	85
875	595	84
876	596	83
877	596	82
878	597	82
879	598	81
880	598	80
881	599	80
882	600	79
883	600	78
884	601	78
885	601	77
886	602	76
887	603	76
888	603	75
889	604	74
890	605	74
891	606	73
892	606	72
893	607	72
894	608	71
895	608	70
896	609	69
897	610	69
898	610	68
899	611	67
900	612	67
901	612	66
902	613	65
903	613	65
904	614	64
905	615	63
906	615	63
907	616	62
908	617	61
909	617	61
910	618	60
911	619	59
912	619	59
913	620	58
914	620	57
915	621	56
916	621	56
917	622	55
918	623	54
919	624	54
920	624	53
921	625	52
922	625	52
923	626	51
924	626	50
925	627	50
926	628	49
927	628	48
928	629	48
929	630	47
930	630	46
931	631	46
932	632	45
933	632	44
934	633	44
935	633	43
936	634	42
937	635	41
938	635	41
939	636	40
940	637	39
941	637	39
942	638	38
943	638	37
944	639	37
945	640	36
946	640	35
947	641	35
948	642	34
949	642	33
950	643	33
951	644	32
952	645	31
953	645	31
954	646	30
955	646	29
956	647	29
957	648	28
958	649	27
959	649	27
960	650	26
961	650	25
962	651	25
963	652	24
964	652	23
965	653	23
966	654	22
967	654	21
968	655	20
969	656	20
970	656	19
971	657	18
972	658	18
973	658	17
974	659	16
975	660	16
976	660	15
977	661	14
978	662	14
979	662	13
980	663	12
981	664	12
982	665	11
983	665	10
984	666	10
985	667	9
986	667	8
987	668	8
988	668	7
989	669	6
990	670	6
991	670	5
992	671	4
993	672	4
994	673	3
995	673	2
996	674	2
997	675	1
998	675	0
999	676	0
